time;MarchSept;Arctic_Temp_Anomalies;AMOC_Caesar;SI_Conc;AMOC_era5;AMOC_hadcrut5;AMOC_hadsst4;AMOC_cobe;AMOC_ersst;SI_Conc_0;SI_Conc_50;SI_Conc_75;SI_Conc_90
01.06.1995;0;-0.26556396;0.5753572;-91.03205608;0.621531236;0.328546909;0.28594826;0.57864681;0.591643663;-190.9593207;-158.6231703;-38.60456622;1.383957047
01.07.1995;0;-0.07382202;0.08345941;-137.7278973;0.092015566;-0.139921909;-0.018566412;0.144245151;0.044240777;-213.1357782;-213.352537;-65.88917471;-21.83905548
01.08.1995;0;-0.4151001;-0.16800094;-209.3127991;-0.059178558;-0.17992117;-0.113094116;-0.039724766;-0.093751522;-256.4315539;-256.6576097;-134.1672658;-40.62891078
01.09.1995;0;-0.3986206;0.051670752;-199.6905696;0.149217486;0.084148502;0.089220849;0.068814136;-0.036605637;-181.9326253;-201.213118;-145.5694096;-37.86253189
01.10.1995;1;-0.6328125;-0.09233311;-16.46320472;-0.020989118;-0.251626866;-0.135044525;-0.154938843;-0.225441344;-86.60182487;-67.14186314;-8.596745063;-32.39335168
01.11.1995;1;-1.1203613;0.06869861;196.8672206;0.190356394;0.027573018;0.131558249;0.080418087;0.03967288;196.9206809;202.7799218;150.0641623;50.65843111
01.12.1995;1;-2.9031372;0.05961751;122.0875034;0.197092346;0.33345647;0.143053637;0.255596844;0.161185217;162.7607491;161.1750233;99.87891177;92.05371388
01.01.1996;1;-1.7286224;0.08703238;-61.02038136;0.280762746;0.377003579;0.329612471;0.260735536;0.239629079;-13.6341503;-14.59358485;-57.96261602;-20.38619427
01.02.1996;1;-1.6100464;0.034297865;-71.8844273;0.204816666;0.126638191;0.047890681;0.098279948;0.188438486;20.66888773;-3.3684992;-84.28986722;-31.91779267
01.03.1996;0;-1.0118713;0.18598634;-126.2182731;0.350404099;0.300740333;0.058809697;0.124007044;0.133642991;-89.66592494;-108.7596934;-100.2107459;-30.34681636
01.04.1996;0;-0.43701172;0.37038136;-106.3950641;0.511404908;0.619436449;0.478946518;0.360696079;0.403474755;-81.41600329;-79.9946836;-89.21576775;-26.19067567
01.05.1996;0;-1.0775757;0.48113498;-36.97763956;0.543353778;0.665044269;0.413935174;0.42555474;0.440333351;55.98802729;25.64508516;-33.0365721;0.220536407
01.06.1996;0;-0.8126221;0.15539509;276.5978187;0.182081017;0.237046726;-0.010230945;0.051211852;-0.054444857;244.3878955;283.5307787;237.8004772;118.8621421
01.07.1996;0;-0.51449585;0.33331165;435.7608544;0.300511246;0.109600385;0.343179837;0.288532016;0.208990418;348.9996236;419.5479362;384.2261853;164.4671656
01.08.1996;0;-1.0013428;0.05664733;58.17091852;0.095270774;-0.090512639;0.210855681;0.276205725;0.158380668;-41.55254121;43.409042;20.41590871;-20.83988413
01.09.1996;0;-2.7764282;0.33343196;9.374159873;0.417147425;0.547151853;0.369412663;0.396433469;0.369705752;-38.35139431;-12.81221166;-29.2754969;-29.92736926
01.10.1996;1;-4.125;0.056016248;255.0053691;0.140808441;0.488328975;0.264623763;0.294507732;0.301663518;250.1056977;257.2235437;195.8268319;-3.870090444
01.11.1996;1;0.874115;0.16000408;-3.359476319;0.253813013;0.142705978;0.414656662;0.316024751;0.274772879;-75.71851011;-58.82042791;22.85970844;4.902662258
01.12.1996;1;-2.3860016;0.37214887;-13.47325307;0.459466674;0.547895949;0.39429378;0.364974872;0.42399278;103.1834784;30.06222869;-10.97213021;15.35236408
01.01.1997;1;-3.7935028;0.520622;-81.5111706;0.69830759;1.042264005;0.604453499;0.54033865;0.666391315;180.2866984;10.27766703;-83.96414021;-30.76251999
01.02.1997;1;-2.4188843;0.1881465;-45.62836199;0.346171894;0.448586333;0.376293688;0.335492573;0.470095734;187.0750824;74.40827959;-66.71757089;-26.67159099
01.03.1997;0;1.4348755;-0.059899583;-95.2661185;0.114774914;-0.085391292;0.1353279;0.132365365;0.263684186;41.01194346;-14.5738732;-90.96343714;-28.36525952
01.04.1997;0;-1.5614014;0.39218357;-66.38742098;0.546118661;0.442593252;0.593970749;0.491588467;0.664910333;112.0687561;53.85475384;-69.41212513;-24.99640005
01.05.1997;0;-0.7849121;0.45822528;-39.19235955;0.578097632;0.726045942;0.52788683;0.445293789;0.417410271;33.33330172;13.42650676;-41.710005;-9.817620301
01.06.1997;0;-0.055511475;0.4594065;130.600029;0.497278215;0.273205751;0.288127746;0.424080071;0.322193802;108.1904503;117.5278571;127.1444393;67.35858616
01.07.1997;0;-0.28085327;0.678675;198.1587642;0.71233178;1.031269623;0.618253042;0.61550954;0.679138268;151.8965197;151.8420307;197.7227268;78.45248893
01.08.1997;0;-1.0432129;0.15200296;-155.4326042;0.264102041;0.525497474;0.254323416;0.317091024;0.302808165;-164.7074116;-176.4427115;-120.2673619;-30.03342489
01.09.1997;0;-0.92770386;0.15299316;-137.7805946;0.268111485;0.634943668;0.411716089;0.429397079;0.330514287;-29.53354322;-71.06716249;-108.368703;-29.13967121
01.10.1997;1;-1.3542786;0.60201716;63.0244542;0.739852687;0.820794917;0.706274691;0.732700236;0.712349916;81.90663984;86.23482685;37.83604716;-20.19889816
01.11.1997;1;-1.1942444;0.6226798;326.4072054;0.85018103;0.543707935;0.607783851;0.657181149;0.604637241;354.6544071;363.6637966;256.0630521;88.62331309
01.12.1997;1;-3.2895355;0.23491375;111.6456982;0.494737464;0.993312036;0.603009399;0.463180105;0.480331574;238.9048908;200.628473;65.62815202;52.16987683
01.01.1998;1;-1.2403259;0.01343146;7.917432045;0.294749129;0.413047514;0.195881889;0.144967151;0.238684653;168.0130312;91.43116875;-26.78004911;-15.70072326
01.02.1998;1;-3.8757477;0.0911511;-15.81807787;0.326380419;0.17263529;0.009106835;0.156867793;0.102483006;228.938939;139.2790915;-53.94267189;-25.47255374
01.03.1998;0;-0.8941345;0.17184584;-59.49675498;0.392180432;0.169914056;0.083092905;0.246599876;0.327116123;168.060773;69.39325827;-70.24237482;-25.12025212
01.04.1998;0;-0.82733154;0.091573164;-44.3181683;0.297946073;0.550027579;0.32602739;0.245015078;0.32605478;149.6811266;61.40514086;-62.86563721;-25.28054502
01.05.1998;0;-1.6728516;0.3130002;16.69352514;0.446030786;0.335481558;0.238385663;0.341967839;0.424298652;216.5978821;138.5837199;-22.46021536;-20.78958794
01.06.1998;0;0.20358276;0.61223197;48.11187053;0.681482756;0.301499733;0.704068403;0.660415844;0.737719677;185.3344483;147.514502;-9.271182272;-71.68792426
01.07.1998;0;0.19573975;0.9129182;178.1840971;0.945297067;0.702313404;0.697806395;0.876427251;1.017199441;201.7461959;211.795694;83.99634081;-105.0872752
01.08.1998;0;0.13504028;0.91772115;55.20092721;0.970537667;0.80497882;0.849577697;0.940615671;1.029761067;59.18377452;93.18049849;12.79819362;-12.99171873
01.09.1998;0;0.07833862;0.5591999;-13.52432528;0.656734769;0.937876796;0.806183086;0.68127126;0.764581577;56.72236571;65.64270749;-76.51184787;-26.21845296
01.10.1998;1;-1.9199524;0.799466;284.0638663;0.878603247;1.066033215;0.828155398;0.79077579;0.920087029;323.658603;329.0486323;149.9258069;6.248606534
01.11.1998;1;0.40960693;0.5082593;26.19887638;0.601986099;0.44747041;0.540197302;0.554588885;0.706568912;39.61236223;58.35576795;-7.784950515;-76.83991055
01.12.1998;1;-1.5484314;0.37304646;-171.6409875;0.492472394;0.538729355;0.386479933;0.408584286;0.48048451;-165.263853;-144.4739829;-187.9734979;-178.9068946
01.01.1999;1;-2.363037;0.20804745;0.012574;0.354939439;0.284642703;0.033337809;0.084600712;0.144132498;54.68238019;69.12082242;-36.29871958;-19.82346301
01.02.1999;1;-2.1756134;0.23066518;-44.33843904;0.354875241;0.301741583;0.322418508;0.285414336;0.358593661;4.018324384;-8.384524937;-55.55461395;-25.08485103
01.03.1999;0;-0.77589417;0.385336;-116.3474129;0.525091876;0.81876987;0.25255434;0.278004859;0.353457334;-102.3296291;-129.5009139;-82.64866938;-26.51933039
01.04.1999;0;-1.9798126;0.49078178;-84.60331055;0.599162709;1.165709236;0.392647476;0.40560836;0.46919238;-4.79751347;-61.25665166;-63.80812199;-25.72512528
01.05.1999;0;-0.5782776;0.39203292;52.77629804;0.432588963;0.5580309;0.414089489;0.319942457;0.402610435;208.2495082;125.6714057;34.75966471;-5.677634248
01.06.1999;0;-1.1273193;0.28262427;62.58256066;0.187368844;0.226221068;0.361009063;0.228949438;0.364956451;84.9549794;73.59464622;33.50492895;-93.79754359
01.07.1999;0;-0.13302612;0.16888808;160.4646201;0.045134313;0.128343082;0.036621624;0.064116578;0.160622344;137.4286853;148.8702907;107.2335384;-93.87062021
01.08.1999;0;0.029296875;0.37304935;184.9666413;0.326295171;0.311072799;0.377986578;0.379964778;0.446072792;222.2385439;182.2672523;130.2287467;8.920241946
01.09.1999;0;-0.8862915;0.025165215;-74.99975599;-0.030773398;-0.003308346;-0.145731993;-0.039635436;-0.054192363;-81.10133834;-103.4866391;-59.53773293;-23.55866267
01.10.1999;1;-1.8504944;0.06351059;207.0330346;0.046131972;0.210134765;0.135671926;0.117263636;0.027607107;241.4157656;243.1458692;127.5310957;-6.735824236
01.11.1999;1;-1.3619385;0.08765895;194.7960589;0.118200364;0.083144;0.217029646;0.227888022;0.249885932;138.1054324;151.9492301;198.7134905;33.68575866
